gene_id,cor,pval,padj
Pocillopora_meandrina_HIv1___RNAseq.g10737.t1,0.9119509795502855,3.6557047532700355e-11,6.447051654818432e-07
Pocillopora_meandrina_HIv1___RNAseq.g3991.t1a,0.8814066380273092,5.912285437038316e-11,6.447051654818432e-07
Pocillopora_meandrina_HIv1___RNAseq.g21162.t1,0.8700014223448318,1.0062078084500857e-10,7.314795364829306e-07
Pocillopora_meandrina_HIv1___RNAseq.g20405.t1,0.8687428091100733,4.857555349165503e-10,2.6484606152487614e-06
Pocillopora_meandrina_HIv1___RNAseq.g26268.t1,0.8342701927769287,2.989945612655495e-09,1.3041544773280739e-05
Pocillopora_meandrina_HIv1___RNAseq.g24871.t1,0.8215329385115513,8.293549638514003e-09,3.014567067772531e-05
Pocillopora_meandrina_HIv1___TS.g16142.t1,0.8388093127083803,2.4813636769727823e-08,7.730865775871345e-05
Pocillopora_meandrina_HIv1___RNAseq.g6653.t1,0.85950848654762,7.462401545041127e-08,0.00020343439411975244
Pocillopora_meandrina_HIv1___TS.g4282.t1,0.7868645835729711,9.269725777817461e-08,0.00022462605498713446
Pocillopora_meandrina_HIv1___RNAseq.g27437.t1,0.764662713709503,3.4865291554524604e-07,0.000760377143512627
Pocillopora_meandrina_HIv1___TS.g10917.t1,0.7656114140755044,5.219554516693922e-07,0.0010348478586779794
Pocillopora_meandrina_HIv1___RNAseq.g24636.t1,0.7556282574588014,5.74136196077972e-07,0.0010434446916887075
Pocillopora_meandrina_HIv1___RNAseq.g15613.t1,0.7505233908825506,7.540128479399964e-07,0.0012649435539017985
Pocillopora_meandrina_HIv1___RNAseq.g284.t1,0.7554549084353699,8.987624055426536e-07,0.0014000792358914095
Pocillopora_meandrina_HIv1___TS.g16929.t1,-0.7418673521784476,1.179808954240693e-06,0.0016924598559741825
Pocillopora_meandrina_HIv1___RNAseq.g7039.t1,0.7396531650384306,1.3192634945004863e-06,0.0016924598559741825
Pocillopora_meandrina_HIv1___RNAseq.g3426.t1,0.7401977520186542,1.2836382064407144e-06,0.0016924598559741825
Pocillopora_meandrina_HIv1___RNAseq.g10169.t1,0.7384681090468881,1.399918092482079e-06,0.001696156315496759
Pocillopora_meandrina_HIv1___RNAseq.g16042.t1,0.733940132847744,1.7511745154739965e-06,0.002010071842524863
Pocillopora_meandrina_HIv1___RNAseq.g5271.t1,0.7324129238160192,1.886628256444134e-06,0.002057273782239506
