gene_id,cor,pval,padj
Peve_00022148,0.9361120883335942,1.861851646631224e-17,3.5017705769840057e-13
Peve_00021671,0.9489268694803266,1.415338123536137e-16,1.3309839713733832e-12
Peve_00040498,0.8902623992581189,1.658139251826068e-13,1.0395427682781562e-09
Peve_00042026,0.86403925339601,5.676350162070213e-12,2.669019846205414e-08
Peve_00043231,0.8581764223222748,1.1317181500817758e-11,4.2570709933476075e-08
Peve_00040619,0.8456620062820164,4.4769569240553784e-11,1.4033767637938925e-07
Peve_00029929,0.8292850811927668,2.2781978733466097e-10,6.121192228843291e-07
Peve_00004625,0.8133973575293106,9.448666507103577e-10,2.221381495820051e-06
Peve_00003112,0.8061294000006944,1.7331758222993636e-09,3.6219523184229365e-06
Peve_00013067,0.8026483736885713,2.297026250864412e-09,4.015767589634171e-06
Peve_00003586,-0.8023707255773715,2.348651822946399e-09,4.015767589634171e-06
Peve_00042234,0.7933488495493953,4.747511681520444e-09,7.440933308836376e-06
Peve_00001214,0.785455497996701,1.4002535023857155e-08,2.0258436825285028e-05
Peve_00018719,0.7656367940378737,3.3781412406632284e-08,4.5382914610281425e-05
Peve_00044798,0.7568279481891539,5.966017374113726e-08,7.480590318155397e-05
Peve_00015257,0.7474304833513554,1.0667214031208842e-07,0.00011166475323817605
Peve_00006583,-0.7487725098917482,9.832958465731551e-08,0.00011166475323817605
Peve_00033047,0.747400221002668,1.068675860424909e-07,0.00011166475323817605
Peve_00027287,-0.7413255095372914,1.535391668296213e-07,0.00015198761314376405
Peve_00035326,0.7450308582118036,1.8731247713462844e-07,0.00017614865349740457
Peve_00036433,-0.7370555267174274,2.953868981087029e-07,0.0002645541323632611
Peve_00025257,0.736932544529573,4.462563757633404e-07,0.000381508632516223
Peve_00015293,0.7309924997045004,6.140730512205055e-07,0.0005021515629284899
Peve_00042820,-0.7147216559718793,6.724113224736807e-07,0.0005269463397118744
Peve_00041838,0.7530507040415312,1.0182758854111336e-06,0.000766069314112504
Peve_00037043,-0.7040179537782161,1.1638814586606322e-06,0.0007817958026603275
Peve_00019490,-0.7041607158475247,1.1555779802250202e-06,0.0007817958026603275
Peve_00011057,-0.7041793147611233,1.1545002270329752e-06,0.0007817958026603275
Peve_00040276,0.7016151481038774,1.3121217654322834e-06,0.0008509788332500133
Peve_00041522,-0.7006478673580597,1.3765467218822088e-06,0.0008630030248386861
Peve_00038242,0.7588846456675375,1.8296109845104787e-06,0.0011100426902152607
Peve_00026378,0.694148164077317,1.8905575737901325e-06,0.0011111752139951504
Peve_00042246,0.7377200412198707,2.1869352413294835e-06,0.0012464205460280282
Peve_00012011,-0.6848203473157884,2.939263299141314e-06,0.0016259312979485245
Peve_00002171,-0.7060976794263505,3.078655382467634e-06,0.0016543814409557503
Peve_00024548,-0.6802392887896886,3.629396673950613e-06,0.0018961581289906424
Peve_00039769,-0.7178880536008416,3.7407906996986087e-06,0.0019015349048630119
Peve_00022507,0.7518957722455502,3.969396966409933e-06,0.001964642582743106
Peve_00039392,-0.6770442620749751,4.195332877438605e-06,0.002023226173304238
Peve_00019035,0.6732649042268581,4.968464822661585e-06,0.002336172159615477
Peve_00037857,-0.671584824043328,5.35228477714153e-06,0.002415324668661067
Peve_00037126,-0.6711687992008878,5.451423608342564e-06,0.002415324668661067
Peve_00041730,0.670876568855178,5.522062991940976e-06,0.002415324668661067
Peve_00039221,0.6845966810411257,5.7452111159598715e-06,0.0024558166061130287
Peve_00019486,-0.6765644584419678,5.900804557169783e-06,0.0024662740469166508
Peve_00025754,0.7321917577103654,6.340415848008378e-06,0.002583046067943094
Peve_00031737,-0.6669727326586863,6.549511058233923e-06,0.002583046067943094
Peve_00036278,0.7313014344819128,6.5922060432405635e-06,0.002583046067943094
Peve_00025988,0.6637431527689052,7.528406504050436e-06,0.0028896789699628693
Peve_00033153,-0.6594304639725637,9.044016685440654e-06,0.0034013956012301436
Peve_00014037,0.6735642982114094,9.223265401038777e-06,0.0034013956012301436
Peve_00037023,0.7044894724292732,9.711395158996327e-06,0.003512536925969287
Peve_00018084,0.655805756609638,1.0527832248606825e-05,0.0037359899798452296
Peve_00003821,-0.6652785264971952,1.299327878729651e-05,0.004525510878360607
Peve_00001942,-0.6465176336270049,1.5398364173752187e-05,0.005265680606907838
Peve_00013635,0.6829830485577996,1.6534271111140453e-05,0.0054557293168128
Peve_00004510,-0.6519396970586095,1.651011219175633e-05,0.0054557293168128
Peve_00021983,0.6425967027755898,1.8011132843781905e-05,0.005747670015579474
Peve_00001867,-0.6421462112335692,1.8335825230474714e-05,0.005747670015579474
Peve_00044611,-0.6421890848447551,1.8304696273301167e-05,0.005747670015579474
Peve_00002846,0.6561173176801208,1.8750956418024166e-05,0.00578144243131473
Peve_00017111,-0.6399394045970269,2.0004689046007064e-05,0.005990561724338105
Peve_00028830,0.6398612904790268,2.0066215899260987e-05,0.005990561724338105
Peve_00033544,-0.674037592872392,2.3442217667155476e-05,0.006889081716935315
Peve_00030220,0.6347231930222137,2.4512335078213926e-05,0.007092738433093038
Peve_00044613,-0.6880930353144659,2.6414183790883654e-05,0.007527241950589997
Peve_00012068,0.6316451929246004,2.758701880206766e-05,0.007744129098944605
Peve_00017679,0.6449342762563326,2.886696258118381e-05,0.007984262238630958
Peve_00041187,0.6364290799006718,3.014763776322636e-05,0.008100239586439448
Peve_00010722,-0.6848934146753219,2.9794337192369437e-05,0.008100239586439448
Peve_00023307,-0.6283947026665793,3.1210696029737766e-05,0.008267757337004336
Peve_00019147,0.6265225206725414,3.34888362291386e-05,0.00874802821941165
Peve_00017095,-0.6245183585898723,3.609390348129472e-05,0.009299371735290288
