gene_id,n_exons,n_cpgs,n_pairs,mean_correlation,median_correlation,sd_correlation,n_sig_p05,n_sig_fdr10,pct_positive,min_p_adj,species
FUN_029523,8,43,43,0.03496581940374771,-0.06572716413465648,0.24549264192400413,5,2,23.25581395348837,0.0,Apul
FUN_009915,2,8,8,0.4599863199953053,0.5578164786850032,0.4640460545355199,4,4,62.5,0.0,Apul
FUN_026690,2,37,37,-0.0036072617963545813,-0.06179680650595114,0.20298643118066478,2,1,13.513513513513514,0.0,Apul
FUN_008624,3,20,20,0.1854969493407092,-0.07827062181422773,0.41770755795271364,8,2,45.0,0.0,Apul
FUN_005723,1,6,6,0.7029991225357423,0.8584302194601094,0.40722521488978974,5,4,83.33333333333334,0.0,Apul
FUN_022015,1,10,10,0.3125490702268634,-0.04418941185516867,0.4803495994785178,4,4,40.0,0.0,Apul
FUN_028538,7,27,27,0.14100833790409587,0.06160127415773234,0.2924748317131914,4,1,51.85185185185185,0.0,Apul
FUN_028542,2,9,9,0.2890908407987674,0.1522046962847626,0.376980757243188,3,1,77.77777777777779,0.0,Apul
FUN_005629,1,2,2,0.46176404435490637,0.46176404435490637,0.761180588230135,1,1,50.0,0.0,Apul
FUN_028741,5,14,14,-0.008990349291081784,-0.09960829632183332,0.3026437990489567,1,1,21.428571428571427,0.0,Apul
FUN_002922,1,7,7,0.15957968671579534,-0.041666666666666664,0.4259705766638997,2,1,28.57142857142857,0.0,Apul
FUN_015374,1,18,18,0.26150762064507704,-0.033370411568409336,0.3688587567621816,7,3,44.44444444444444,0.0,Apul
FUN_001604,1,57,57,0.02826202788030912,-0.05143444998736397,0.25455586095199906,7,3,14.035087719298245,0.0,Apul
FUN_016162,1,3,3,0.29076002726749867,-0.05333942961652559,0.6143099264473804,1,1,33.33333333333333,0.0,Apul
FUN_039795,1,5,5,0.16143112865572137,-0.04000000000000001,0.4689340214624896,1,1,20.0,0.0,Apul
FUN_031702,16,206,206,-0.008207786179552949,-0.04951533529035839,0.18745203702343405,10,2,24.271844660194176,0.0,Apul
FUN_041424,2,3,3,0.28822978895937357,-0.05542897631714555,0.6165323255023782,1,1,33.33333333333333,0.0,Apul
FUN_004572,2,12,12,0.16881021947480804,-0.08367007897008297,0.383653543295279,2,1,41.66666666666667,0.0,Apul
FUN_017775,2,45,45,0.12015905973695862,0.06868292448918646,0.21317461604835203,2,1,75.55555555555556,0.0,Apul
FUN_035858,4,11,11,0.07605563596757514,0.047533900292908986,0.32457517696745625,1,1,54.54545454545454,0.0,Apul
FUN_008839,2,29,29,-0.034454750146666775,-0.06919529355883657,0.2294132390994624,1,1,24.137931034482758,0.0,Apul
FUN_004344,5,81,81,-0.028173652171911624,-0.10616103744497256,0.19872129899923122,4,1,32.098765432098766,0.0,Apul
FUN_018095,1,12,12,0.20183493485596324,-0.04472749418763611,0.3956678283443032,4,1,33.33333333333333,0.0,Apul
